Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,22640353.00412,355934.9222629,19083208.75805,0,0,0,1.175587248598,0.4548667672405,26256935.93938,26397525.1463921,138719900.7642,-0.0004689269509967,0,0,0,2.869869691162,5.573882824142,0,1.175587248598,0.456162115355,-2.059966847772,2.913624178942,1.376409247027,1.370757255086,-2193.228801752,417.3575639725,0,0,172800.500,2099,0,0,411.9473340907
600,22640516.30158,356035.2804728,19083013.16199,0,0,0,1.175594358243,0.4548586952383,26256977.67509,26397566.8822132,138720120.0872,-0.0004689269509491,0,0,0,2.869897123607,5.573973633361,0,1.175594358243,0.4561540212821,-2.060033131786,2.913623794752,1.376408469881,1.370686014257,-2193.232717058,417.3583090305,0,0,172800.600,2099,0,0,511.947194875
700,22640679.59824,356135.6362654,19082817.56299,0,0,0,1.175601467923,0.4548506232672,26257019.41089,26397608.6181094,138720339.4105,-0.0004689269509016,0,0,0,2.869924556313,5.574064445532,0,1.175601467923,0.45614592724,-2.060099415547,2.913623415162,1.376407692751,1.370614773498,-2193.236691094,417.3590652645,0,0,172800.700,2099,0,0,611.9470556591
800,22640842.89409,356235.9896408,19082621.96107,0,0,0,1.175608577638,0.4548425513272,26257061.14675,26397650.3540807,138720558.7342,-0.000468926950854,0,0,0,2.869951989279,5.574155260655,0,1.175608577638,0.4561378332288,-2.060165699055,2.913623030102,1.376406915637,1.370543532811,-2193.240625977,417.3598140478,0,0,172800.800,2099,0,0,711.9469164428
900,22641006.18913,356336.3405988,19082426.35621,0,0,0,1.175615687388,0.4548344794181,26257102.8827,26397692.0901271,138720778.0583,-0.0004689269508065,0,0,0,2.869979422506,5.574246078731,0,1.175615687388,0.4561297392484,-2.060231982311,2.913622628042,1.376406138538,1.370472292195,-2193.244629378,417.3605758697,0,0,172800.900,2099,0,0,811.9467772264
1000,22641169.48336,356436.6891397,19082230.74843,0,0,0,1.175622797174,0.4548264075401,26257144.61871,26397733.8262487,138720997.3829,-0.0004689269507589,0,0,0,2.870006855994,5.57433689976,0,1.175622797174,0.4561216452989,-2.060298265314,2.913622250386,1.376405361454,1.37040105165,-2193.248554473,417.3613227904,0,0,172801.000,2099,0,0,911.9466380097
1100,22641332.77679,356537.0352632,19082035.13772,0,0,0,1.175629906996,0.4548183356931,26257186.35481,26397775.5624453,138721216.7078,-0.0004689269507113,0,0,0,2.870034289742,5.574427723741,0,1.175629906996,0.4561135513802,-2.060364548065,2.913621872761,1.376404584387,1.370329811177,-2193.252489356,417.3620715737,0,0,172801.100,2099,0,0,1011.946498793
1200,22641496.06941,356637.3789694,19081839.52408,0,0,0,1.175637016852,0.4548102638771,26257228.09097,26397817.298717,138721436.0331,-0.0004689269506638,0,0,0,2.87006172375,5.574518550675,0,1.175637016852,0.4561054574924,-2.060430830563,2.913621495992,1.376403807335,1.370258570774,-2193.256434027,417.3628222197,0,0,172801.200,2099,0,0,1111.946359575
1300,22641659.36122,356737.7202583,19081643.90751,0,0,0,1.175644126744,0.4548021920922,26257269.82722,26397859.0350639,138721655.3588,-0.0004689269506162,0,0,0,2.870089158019,5.574609380563,0,1.175644126744,0.4560973636354,-2.060497112808,2.913621102976,1.376403030299,1.370187330443,-2193.260319969,417.3635616899,0,0,172801.300,2099,0,0,1211.946220358
1400,22641822.65222,356838.0591301,19081448.28801,0,0,0,1.175651236671,0.4547941203383,26257311.56354,26397900.7714858,138721874.6848,-0.0004689269505687,0,0,0,2.870116592549,5.574700213403,0,1.175651236671,0.4560892698093,-2.0605633948,2.913620709234,1.376402253279,1.370116090183,-2193.264313582,417.3643216491,0,0,172801.400,2099,0,0,1311.94608114
1500,22641985.94241,356938.3955844,19081252.66558,0,0,0,1.175658346634,0.4547860486154,26257353.29993,26397942.5079828,138722094.0113,-0.0004689269505211,0,0,0,2.870144027339,5.574791049197,0,1.175658346634,0.456081176014,-2.06062967654,2.91362032527,1.376401476274,1.370044849994,-2193.268248465,417.3650704324,0,0,172801.500,2099,0,0,1411.945941922
1600,22642149.2318,357038.7296216,19081057.04022,0,0,0,1.175665456632,0.4547779769235,26257395.0364,26397984.2445549,138722313.3382,-0.0004689269504735,0,0,0,2.870171462389,5.574881887944,0,1.175665456632,0.4560730822496,-2.060695958028,2.913619941424,1.376400699285,1.369973609876,-2193.272163771,417.3658154905,0,0,172801.600,2099,0,0,1511.945802704
1700,22642312.52038,357139.0612414,19080861.41193,0,0,0,1.175672566665,0.4547699052627,26257436.77294,26398025.9812022,138722532.6655,-0.000468926950426,0,0,0,2.8701988977,5.574972729645,0,1.175672566665,0.456064988516,-2.060762239262,2.913619570744,1.376399922311,1.369902369829,-2193.276137808,417.3665717244,0,0,172801.700,2099,0,0,1611.945663486
1800,22642475.80815,357239.390444,19080665.78071,0,0,0,1.175679676733,0.4547618336328,26257478.50956,26398067.7179244,138722751.9931,-0.0004689269503784,0,0,0,2.870226333271,5.5750635743,0,1.175679676733,0.4560568948133,-2.060828520244,2.91361917596,1.376399145353,1.369831129854,-2193.280062902,417.3673186451,0,0,172801.800,2099,0,0,1711.945524267
1900,22642639.09511,357339.7172293,19080470.14656,0,0,0,1.175686786837,0.4547537620341,26257520.24625,26398109.4547218,138722971.3212,-0.0004689269503309,0,0,0,2.870253769103,5.575154421908,0,1.175686786837,0.4560488011415,-2.060894800974,2.913618775433,1.376398368411,1.369759889949,-2193.28402715,417.3680730164,0,0,172801.900,2099,0,0,1811.945385048
2000,22642802.38126,357440.0415974,19080274.50949,0,0,0,1.175693896976,0.4547456904663,26257561.98302,26398151.1915943,138723190.6497,-0.0004689269502833,0,0,0,2.870281205196,5.575245272471,0,1.175693896976,0.4560407075004,-2.06096108145,2.913618399518,1.376397591485,1.369688650116,-2193.288030551,417.3688348383,0,0,172802.000,2099,0,0,1911.945245829
2100,22642965.6666,357540.3635481,19080078.86948,0,0,0,1.175701007151,0.4547376189296,26257603.71986,26398192.9285418,138723409.9785,-0.0004689269502358,0,0,0,2.870308641549,5.575336125987,0,1.175701007151,0.4560326138903,-2.061027361674,2.913618022427,1.376396814574,1.369617410354,-2193.291965434,417.3695836216,0,0,172802.100,2099,0,0,2011.945106609
