Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
598000,25983556.18837,-738268.1669502,6846891.212753,0,0,0,1.611701179437,0.1745928067238,25032918.84568,25070694.7934477,131747347.6905,-0.000125947837507,0,0,0,4.059990970463,13.67599113021,0,1.611701179437,0.1744564620196,-5.000867441463,-1.474736859065,1.335348188632,-3.113829922094,997.4702062897,-189.8122690618,0,0,173398.000,2099,592,0,597916.3731638
598100,25983482.91251,-738223.3557829,6847186.328095,0,0,0,1.611690974298,0.1745996607308,25032880.88417,25070656.8312077,131747148.1979,-0.0001259478368332,0,0,0,4.059955639095,13.67549432768,0,1.611690974298,0.1744633503118,-5.000789296789,-1.474686982217,1.335348506429,-3.113722114668,1994.914072355,-379.6195257455,0,0,173398.100,2099,592,0,598016.3732904
598200,25983409.63335,-738178.5434346,6847481.442031,0,0,0,1.611680769087,0.1746065146629,25032842.92317,25070618.8694719,131746948.708,-0.0001259478361593,0,0,0,4.059920308438,13.67499756633,0,1.611680769087,0.1744702385294,-5.000711152962,-1.474692913948,1.335348824233,-3.113614307858,1994.887565729,-379.6144817024,0,0,173398.200,2099,592,0,598116.373417
598300,25983336.35089,-738133.7299054,6847776.554562,0,0,0,1.611670563806,0.1746133685201,25032804.96267,25070580.9082402,131746749.2208,-0.0001259478354855,0,0,0,4.059884978492,13.67450084617,0,1.611670563806,0.1744771266723,-5.000633009982,-1.474698831446,1.335349142045,-3.113506501664,1994.861088469,-379.6094432473,0,0,173398.300,2099,592,0,598216.3735436
598400,25983263.06513,-738088.9151951,6848071.665687,0,0,0,1.611660358454,0.1746202223024,25032767.00268,25070542.9475128,131746549.7362,-0.0001259478348116,0,0,0,4.059849649258,13.67400416718,0,1.611660358454,0.1744840147405,-5.000554867849,-1.474704779264,1.335349459864,-3.113398696086,1994.83460142,-379.6044029295,0,0,173398.400,2099,592,0,598316.3736703
598500,25983189.77608,-738044.0993037,6848366.775407,0,0,0,1.611650153032,0.1746270760097,25032729.04319,25070504.9872895,131746350.2542,-0.0001259478341377,0,0,0,4.059814320734,13.67350752937,0,1.611650153032,0.1744909027341,-5.000476726562,-1.474710717916,1.33534977769,-3.113290891125,1994.808055642,-379.5993514359,0,0,173398.500,2099,592,0,598416.3737969
598600,25983116.48372,-737999.2822312,6848661.883721,0,0,0,1.611639947538,0.1746339296422,25032691.08421,25070467.0275705,131746150.775,-0.0001259478334638,0,0,0,4.059778992921,13.67301093272,0,1.611639947538,0.174497790653,-5.000398586123,-1.47471666548,1.335350095524,-3.11318308678,1994.78158817,-379.5943148434,0,0,173398.600,2099,592,0,598516.3739235
598700,25983043.18808,-737954.4639775,6848956.990629,0,0,0,1.611629741974,0.1746407831997,25032653.12573,25070429.0683557,131745951.2983,-0.00012594783279,0,0,0,4.05974366582,13.67251437724,0,1.611629741974,0.1745046784972,-5.000320446531,-1.474722593165,1.335350413365,-3.113075283051,1994.755101121,-379.5892745256,0,0,173398.700,2099,592,0,598616.3740501
598800,25982969.88913,-737909.6445427,6849252.096131,0,0,0,1.611619536339,0.1746476366823,25032615.16775,25070391.1096451,131745751.8243,-0.0001259478321161,0,0,0,4.059708339429,13.67201786292,0,1.611619536339,0.1745115662667,-5.000242307786,-1.474728516128,1.335350731214,-3.11296747994,1994.728604284,-379.5842323452,0,0,173398.800,2099,592,0,598716.3741767
598900,25982896.58689,-737864.8239266,6849547.200227,0,0,0,1.611609330633,0.17465449009,25032577.21028,25070353.1514389,131745552.353,-0.0001259478314422,0,0,0,4.05967301375,13.67152138975,0,1.611609330633,0.1745184539616,-5.000164169888,-1.47473446048,1.33535104907,-3.112859677444,1994.702097659,-379.5791883022,0,0,173398.900,2099,592,0,598816.3743033
