Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),Yaw (deg),Pitch (deg),Roll (deg),Velocity X (m/s),Velocity Y (m/s),Velocity Z (m/s),Accel. X (m/s^2),Accel. Y (m/s^2),Accel. Z (m/s^2),GPS TOW,GPS Week Number
500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172800.500,2099
600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172800.600,2099
700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172800.700,2099
800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172800.800,2099
900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172800.900,2099
1000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172801.000,2099
1100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172801.100,2099
1200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172801.200,2099
1300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172801.300,2099
1400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172801.400,2099
1500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172801.500,2099
1600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172801.600,2099
1700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172801.700,2099
1800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172801.800,2099
1900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172801.900,2099
2000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172802.000,2099
2100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172802.100,2099
2200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172802.200,2099
2300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172802.300,2099
2400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172802.400,2099
2500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172802.500,2099
2600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172802.600,2099
2700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172802.700,2099
2800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172802.800,2099
